tweet_id,negativereason,company,name,text,tweet_coord,tweet_created,tweet_location,user_timezone,cleaned_text,sentiment
570106717490393088,Lost Luggage,United,mortgagesbycoop,@united okay ase24766m. Find our luggage.,,2015-02-23 22:23:28 -0800,New Jersey,,find our luggage,negative
568925459540344833,,Southwest,jnlerner,@SouthwestAir so happy that you can finally put your #southwestairlines boarding pass into passbook! Makes life so much easier ✈️,,2015-02-20 16:09:34 -0800,Los Angeles,Pacific Time (US & Canada),so happy that you can finally put your board pas into passbook make life so much easier airplane,positive
569850912451072000,Customer Service Issue,American,whyemes,@AmericanAir stiiiil waiting. Please respond as my flight leaves in 2 1/2 hrs,,2015-02-23 05:26:59 -0800,,,hr,negative
569263908973903872,Flight Booking Problems,US Airways,ElizabethFrayer,"@USAirways AND my rebooked flt isn't until Monday??  AND I don't get a voucher for a hotel?!  Never again, US airways.",,2015-02-21 14:34:26 -0800,,,and my rebooked flt be until monday and i do get a voucher for a hotel never again us airways,negative
568893072001646592,,United,jeeden_1,@united or us air: http://t.co/Eis9hcNPrO,,2015-02-20 14:00:52 -0800,"Purcellville, VA",,or us air,neutral
568878340200906752,Can't Tell,Southwest,MyStyleVita,@SouthwestAir it's pretty stupid and I probably won't fly it again. Plus hearing nightmare stories of overbooked flights.,,2015-02-20 13:02:20 -0800,Atlanta,Quito,it pretty stupid and i probably wo fly it again plus hear nightmare story of overbooked flight,negative
569664250521763840,,United,emilygalati,"@united can I get on a stand by list from ASE to ORD? I'm the only poor person in Aspen, that's why I'm asking for standby on twitter.",,2015-02-22 17:05:15 -0800,"Chicago, IL",Mountain Time (US & Canada),can i get on a stand by list from ase to ord i m the only poor person in aspen that why i m ask for standby on twitter,negative
569516908195815425,,Delta,djkeating13,"@JetBlue well, the last update was in the right direction, at least! I'll keep my fingers crossed.",,2015-02-22 07:19:46 -0800,"Malden, MA",Eastern Time (US & Canada),well the last update be in the right direction at least i ll keep my finger cross,positive
569920090440916994,,Delta,CyntheaH,@JetBlue The chairs could use some TLC. And more power outlets in the area would be a bonus. Headed to @UniversalORL !,,2015-02-23 10:01:52 -0800,"Burlington, Vermont",Eastern Time (US & Canada),the chair could use some tlc and more power outlet in the area would be a bonus head to,positive
568408074161160192,Late Flight,US Airways,cahillwilliamr,@USAirways on flight # 556 delayed#connection help for flight # 561 # help via email,,2015-02-19 05:53:40 -0800,,,on flight delayed connection help for flight help via email,neutral
568475439460515840,,Delta,sbgblee,"@JetBlue flight attendant Wendi on Flt 127 on 2/17, Newark to Orlando.  👍👍",,2015-02-19 10:21:21 -0800,,,flight attendant wendi on flt on newark to orlando thumb up thumb up,positive
570142278729076736,Can't Tell,American,blueswingpark,"@AmericanAir I have emailed several times.hand wrote a letter,went to airport,called.please fix this! Or @abc7newsBayArea please help!",,2015-02-24 00:44:46 -0800,san francisco califorania,Pacific Time (US & Canada),i have email several timeshand write a letter go to airport calledplease fix this or please help,negative
569452063920226304,,Virgin America,NewsSWA,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",,2015-02-22 03:02:06 -0800,FL410,Sydney,beat eps view take on va luv investor business daily,neutral
